corpora,record,phrase,PQP,auxiliary,verb,note,marker,pause before,pause between,restart/repaet
ESLO,112,oui euh c'était pas vous qui étiez venus une fois déjà non ?,vous qui étiez venus une fois déjà,être,venir,0,1,0,0,0
CFPP,17,ils se répètent et ta soeur et ta soeur ça va ça va voilà c'est comme ça en face c'est vraiment marrant hein et bon je me suis dit un jour faudrait quand même que je pose la question parce que je comprenais pas mais bon c'est c'est vrai que cette communauté-là ils frayent pas trop mais peut-être dans les milieux associatifs on arrive à les moi j'avais un peu envie de faire de l'aide à aux devoir pour les petits enfants maliens une fois je m'étais dit je pourrais faire ça quand même et puis bon j'ai pas,une fois je m'étais dit,être,se dire,0,1,0,0,0
CFPP,17,dans le dans le comment dans l'immeuble en face les gens euh comment dire comment vous expliquer le malaise que j'ai ressenti je me suis sentie un petit peu diminuée est-ce que ça vient de moi peut-être mais je me suis pas sentie acceptée même par les gens d'en-dessous quand je suis a- je suis venue pour un peu de bruit j'avais un mot sur ma porte vous devriez faire attention vos enfants font du bruit euh euh quand François joue aux billes sur le balcon j'ai eu des réflexions euh quand j'avais mis mes j'avais oublié une fois mon linge comment ça s'appelle mes lits vous savez j'avais mis mes draps à l'air et tout je l'avais oublié eh bah j'ai eu des réflexions par le syndic,j'avais oublié une fois,avoir,oublier,0,1,0,0,0
CFPP,29,euh donc on a été un petit peu sur l'avenue d'Italie et je savais que mon bar était euh alors je savais qu'une fois j'y avais été en allant à Montparnasse puis j'avais pris la ligne 13 si j'ai bien métro Pernetty oui c'est ça donc en gros je savais que c'était vers la gauche de euh de l'avenue d'Italie donc au bout d'un moment pas trop longtemps on a pris à gauche en me disant que euh en me repérant par rapport à la Tour Montparnasse en allant à gauche je finirai pas trouver la ligne 13 mais c'était un petit bout en fait beaucoup plus loin que ce que j'avais prévu on a marché on a marché on a marché euh donc on a été jusqu'au parc,une fois j'y avais été,avoir,être,0,1,0,0,0
CFPP,30,non on avait fait une fois,on avait fait une fois,avoir,faire,0,1,0,0,0
CFPP,32,une fois j'avais fait un il y avait des ateliers d'artistes une journée de,une fois j'avais fait,avoir,faire,0,1,0,0,0
CFPP,35,ah oui j'avais postulé à je veux je veux vous dire aussi ça parce que une fois j'avais postulé à la Marine Nationale,une fois j'avais postulé,avoir,postuler,0,1,0,0,0
ESLO,315,j'au- j'en avais fait une fois en France je crois et alors quand on a acheté ces ces,j'en avais fait une fois,avoir,faire,0,1,0,0,1
CFPP,8,et euh un week-end ils avaient proposé aux gens ouais de passer et donc y avait gâteaux champagne boissons,un week-end ils avaient proposé,avoir,proposer,0,1,0,0,0
ESLO,543,de toute façon le ministre à un moment s'était exprimé avait dit que bon on n'était pas euh,le ministre à un moment s'était exprimé,être,s’exprimer,0,1,0,0,0
