phrase,PQP,auxiliary,verb,marker,translation,group
j'en avais fait un an avant,j'en avais fait un an avant,avoir,faire,un an avant,one year before,before
je vous avais dit au d- au début que i- les,je vous avais dit au début,avoir,dire,au début,at first,before
"Tandis que j'ai travaillé avec de, avec des gars, qui euh, qui avaient été prisonniers autrefois puis ils me disaient:",gars qui avaient été autrefois,avoir,être,autrefois,formerly,before
On avait répété un petit peu euh on avait quand même le programme on avait répété un peu avant de partir (L2 tousse).,on avait répété avant de partir,avoir,répéter,avant,before,before
"elle avait continué le métier tout en euh, elle avait juste commencé à apprendre avant. Enfin elle avait continué le métier puis euh.",elle avait juste commencé avant,avoir,commencer,avant,before,before
elle avait travaillé avant,elle avait travaillé avant,avoir,travailler,avant,before,before
un évènement pareil ah non j'en avais jamais vécu avant,j'en avais jamais vécu avant,avoir,vivre,avant,before,before
alors euh j'ai don(c) acheté deux rognons de porc et je les ai coupés p() je les ai fendus par la moitié j'ai retiré la partie grasse qui est au milieu du rognon p(u)is je les ai coupés en petits dés que j'ai fait revenir dans la poêle avec du beurre salez poivrez quand i(l)s ont été cuits je les ai mis à part dans un plat au chaud et j'ai j() avant j'avais épluché mes champignons lavés comme i(l) faut je les avais coupés j'ai fait cuire mes champignons sauter mes mes champignons c'est-à-dire que je les fait je fais évacuer euh l'eau du champignon p(u)is alors cette eau de champignon qui sent le champignon,avant j'avais épluché,avoir,éplucher,avant,before,before
avant ils avaient fait un voyage,avant ils avaient fait,avoir,faire,avant,before,before
et en fait je n'y avais jamais pensé avant parce que on,je n'y avais jamais pensé avant,avoir,penser,avant,before,before
ben elle l'a eu que deux jours avant j'étais passée il y avait une espèce de de fauteuil comme ça bourré de sur ben c'est chez lui que je l'a- j'avais acheté,deux jours avant j'étais passée,être,passer,deux jours avant,two days before,before
ben elle l'a eu que deux jours avant j'étais passée il y avait une espèce de de fauteuil comme ça bourré de sur ben c'est chez lui que je l'a- j'avais acheté,j'avais acheté,avoir,acheter,deux jours avant,two days before,before
"Je l'avais mis en, deuxième position. J'avais préféré euh Montpellier en premier. Et puis ils m'ont pris d'office donc euh,",J'avais préféré en premier,avoir,préférer,en premier,at first,before
en première année de sciences du langage là on avait écouté ça,en première année on avait écouté,avoir,écouter,en première année,the first year,before
"Comme je suis là je travaille pas donc j'ai que, que la radio quoi! L1} (rires) J'avais écouté hier c'était Leïla ou je sais pas (rires) L2} Oui voilà, oui oui oui j'aime (rires) bien Leïla!",J'avais écouté hier,avoir,écouter,hier,yesterday,before
tu m'as dit que tu avais acheté des glaces la semaine dernière,tu avais acheté la semaine dernière,avoir,acheter,la semaine dernière,last week,before
"Oui, on avait été voy/ voya/ voyagé avec ma fille euh, en Martinique il y a deux ans.",on avait été il y a deux ans,avoir,être,il y a deux ans,two years ago,before
euh et bien on a toujours un peu ceux-là qui vieillissent euh il y en a d'autres qui sont partis du quartier qui reviennent de temps en temps et puis bon quand même évidemment des nouveaux mais euh il faut quand même bien reconnaître que ils sont plus jeunes donc moins proches du livre hein euh ils ont en général bon pour vivre dans ce quartier il faut quand même beaucoup d'argent parce que des loyers sont très très chers ici euh l'immobilier est très cher dans le quartier il y a un moment euh ils disaient que on avait eu des chiffres je crois qu'il y a il y a quelques années ils avaient dit que l'immobilier avait augmenté d'environ neuf pour cent à Paris et euh sur le quartier vert,il y a quelques années ils avaient dit,avoir,dire,il y a quelques années,some years ago,before
l'année dernière si on avait eu quelque chose,l'année dernière si on avait eu,avoir,avoir,l'année dernière,the previous year,before
j'ai appris des choses qui s'étaient passées l'année dernière au camp de pionniers de Benoît,des choses qui s'étaient passées l'année dernière,être,se passer,l'année dernière,the previous year,before
mais alors par contre au camp rangers l'année dernière y avait rien eu,l'année dernière y avait rien eu,avoir,avoir,l'année dernière,the previous year,before
l'année dernière il avait eu un mois de juillet calme,l'année dernière il avait eu,avoir,avoir,l'année dernière,the previous year,before
donc jusqu'à la enfin l'année dernière je les avais inscrits,enfin l'année dernière je les avais inscrits,avoir,inscrire,l'année dernière,the previous year,before
